No.,Indicativo,SECTOR,Direcion,# de elementos,latitud,longitud
1,TIBURON,SECTOR 51,"Canal de Miramontes N° 2225, Colonia Avante, Alcaldía Coyoacán, entre la Virgen y Tlalpan C.P. 04460",1147,19.3301957677054,-99.1372439007671
2,ORCA,SECTOR 52,"Calle Puente de Santo Tomas s/n, entre Topacio y Roldán Colonia Centro Alcaldía Cuauhtémoc, C.P. 06000",1395,19.4250729350649,-99.1281536484442
3,PANTERA,SECTOR 53,"Av. Cicerón S/N, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX",1245,19.4344623043896,-99.2080068722814
4,SAMURAY,SECTOR 54,"Av. Sur de Los 100 Metros N, Magdalena de las Salinas, Gustavo A. Madero, 07760 Ciudad de México, CDMX",1830,19.4843313415557,-99.1457917042674
5,TIGRE,SECTOR 55,"AV. AQUILES SERDAN, ESQ. CON AV. TEZOZOMOC",523,19.4904245752870,-99.1947430061128
6,COBRA,SECTOR 56,"Moctezuma No. 58 Piso 3, Col. Guerrero, Alcaldía Cuauhtémoc, C.P. 06300",1475,19.4433676536115,-99.1416261582475
7,LEOPARDO,SECTOR 58,"Moctezuma no. 90, Colonia Guerrero, Alcaldía. Cuauhtémoc, C.P. 06300, Ciudad de México",1173,19.4436720042263,-99.1434551502893
8,VIKINGO,SECTOR 59,"Bondojito No. 291, Colonia Estado de Hidalgo, Alcaldía Álvaro Obregón",830,19.3994281763316,-99.2076850196098
9,CIERVO,SECTOR 60,"Sur 105 No. 1304 Colonia Aeronáutica Militar, Alcaldía Venustiano Carranza C.P. 15970",1116,19.4208727232091,-99.1161850177637
10,CAIMAN,SECTOR 61,Calle Lerdo #58 esquina Moctezuma. Colonia Guerrero. Alcaldía Cuauhtémoc. C.P. 06300. Ciudad de México,1223,19.4437486720165,-99.1426710889282
11,ALCE,SECTOR 63,"Eje Vial 5 Nte. (Avenida De Las Culturas 69, El Rosario, Azcapotzalco, 02100 Ciudad de México, CDMX",2682,19.5084645402462,-99.2099783484421
12,ORION,SECTOR 64,"Adormidera No. 42, Colonia Un Hogar Para Nosotros, Alcaldía Miguel Hidalgo, C.P. 11330",1679,19.4506484124962,-99.1701250717421
13,BISONTE,SECTOR 65,"Calle Paganini No. 127, Colonia Vallejo, Alcaldía Gustavo A. Madero, C.P. 07870",1457,19.4665523134993,-99.1341065251010
14,LOBO,SECTOR 66,"Nogal No.252, Colonia Santa María La Rivera, Alcaldía Cuauhtémoc, C.P 06400",1363,19.4534598744493,-99.1632761024226
15,DRAGON,SECTOR 68,"Luna No. 44, Colonia Guerrero, Alcaldía Cuauhtémoc, C.P. 06300, Ciudad de México",1356,19.4481780153019,-99.1405314619384
16,GAVILAN,SECTOR 69,"Moctezuma No. 90, Colonia Guerrero, Alcaldía Cuauhtémoc, C.P. 06300 Ciudad de México",1178,19.4436821211878,-99.1433800484438
17,TOPO,SECTOR 70,"Callejón de la Concepción S/N, Colonia Centro, Alcaldía Cuauhtémoc",1133,19.4392392267294,-99.1392287907737
18,EXCALIBUR,SECTOR 73,"Bertha No. 34, Colonia Nativitas, Alcaldía Benito Juárez, C.P. 03500",1860,19.3838307992410,-99.1353688600945
19,POLAR,SECTOR 74,"Canarias Número 203, Colonia Portales Norte, Alcaldía Benito Juárez, C.P. 03300",965,19.3711620544636,-99.1462789466001
20,BUFALO,SECTOR 76,"Calle Moctezuma 58, esquina con Lerdo Piso 1, Colonia Guerrero, Alcaldía Cuauhtémoc, C.P. 06300",1355,19.4436737957657,-99.1417112917315